from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
1,613,0,240,,
1,639,2,300,,
10017,10017,0,240,,
10017,10018,2,300,,
10017,8683,0,240,,
10017,8697,2,300,,
10017,8749,0,240,,
10017,8758,0,240,,
10018,10017,2,300,,
10018,8683,0,240,,
10018,8697,2,300,,
10021,8659,2,360,,
10021,8679,2,360,,
10021,8680,0,240,,
10023,10023,0,240,,
10023,11450,0,240,,
10023,2590,0,240,,
10034,10034,0,240,,
10034,10971,2,300,,
10034,10972,0,240,,
10034,8747,0,240,,
10034,8756,0,240,,
10034,9952,0,240,,
10063,10063,0,240,,
10067,10067,0,240,,
10067,10068,0,240,,
10067,10440,2,420,,
10068,10067,2,300,,
10068,10068,0,240,,
10068,10440,2,480,,
10068,3608,2,420,,
10092,1865,2,300,,
10092,1886,2,300,,
1013,10424,0,240,,
1013,10694,2,600,,
1013,12334,2,300,,
1013,98,2,540,,
10130,10130,0,240,,
10132,3198,0,240,,
10132,3784,2,300,,
10132,3975,2,300,,
10141,10141,0,240,,
10141,3900,0,240,,
10141,9174,0,240,,
10144,11613,2,360,,
10144,9848,2,360,,
10145,10145,0,240,,
10145,9283,0,240,,
10148,12478,2,300,,
10148,9524,0,240,,
10148,9547,0,240,,
1016,1016,0,240,,
1016,11523,2,300,,
1016,11525,2,360,,
1016,11535,2,120,,
1016,11706,0,240,,
1016,12535,2,120,,
1016,4495,2,300,,
1016,77,2,600,,
1016,78,2,480,,
1016,8041,2,360,,
1016,9129,2,180,,
1016,95,2,480,,
1016,985,0,240,,
1018,1018,0,240,,
1018,869,0,240,,
1018,9551,0,240,,
10188,10188,0,240,,
10189,10189,0,240,,
10189,6039,0,240,,
10196,10374,2,300,,
10196,1300,2,480,,
10196,1362,2,480,,
10198,10198,0,240,,
10199,6475,0,240,,
10199,9306,0,240,,
10202,8050,0,240,,
10202,8067,0,240,,
10235,10233,0,240,,
10235,2708,0,240,,
10247,10247,0,240,,
10251,10251,0,240,,
10251,10260,0,240,,
10251,10692,2,300,,
10258,10253,2,300,,
10258,10258,0,240,,
10258,10628,2,300,,
1027,1971,2,300,,
1027,2062,0,240,,
10294,10893,0,240,,
10295,10295,0,240,,
10295,10315,2,120,,
10295,7835,0,240,,
10295,7890,0,240,,
10299,7666,2,420,,
10299,7719,2,420,,
10300,12638,2,300,,
10305,10300,0,240,,
10305,10305,0,240,,
10305,7785,0,240,,
10308,12638,2,300,,
10310,7666,0,240,,
10310,7719,2,420,,
10316,10893,2,360,,
10316,12636,2,420,,
10316,12639,2,360,,
10328,4756,2,300,,
10329,2725,0,240,,
10331,10231,2,300,,
10331,2021,2,300,,
10335,10349,0,240,,
10336,10336,0,240,,
10336,10339,0,240,,
10339,10336,0,240,,
10342,10333,2,300,,
10342,2632,2,360,,
10349,10335,2,360,,
10349,10349,0,240,,
10352,10814,0,240,,
10352,179,0,240,,
10360,11221,2,420,,
10360,11227,2,420,,
10360,11258,0,240,,
10360,11276,2,300,,
10360,11277,2,300,,
10375,10926,0,240,,
10375,1300,2,480,,
10375,1362,2,480,,
1039,1514,0,240,,
1039,1596,0,240,,
10399,10399,2,120,,
10399,11526,2,300,,
10399,11706,2,360,,
10399,12036,2,120,,
10399,4495,2,420,,
10399,4881,2,120,,
10399,4882,2,300,,
10399,96,2,300,,
10400,10399,2,60,,
10400,13126,0,240,,
10413,8922,2,300,,
1042,11013,0,240,,
1042,11023,0,240,,
10427,6236,0,240,,
10428,10428,0,240,,
10429,10429,2,120,,
10429,2477,0,240,,
10429,2630,0,240,,
10429,2692,2,120,,
10429,2799,2,120,,
10429,3023,0,240,,
10429,8051,0,240,,
10429,8066,0,240,,
10437,6175,0,240,,
10437,6194,0,240,,
10467,12026,2,360,,
10468,11274,2,420,,
10468,11275,2,420,,
10468,11310,2,420,,
10468,11311,2,300,,
10470,21,2,360,,
10470,8289,0,240,,
10470,91,2,360,,
10478,182,2,300,,
10478,234,2,300,,
10492,8042,2,360,,
10492,8075,2,360,,
10513,12026,2,360,,
10513,415,2,360,,
1054,902,2,300,,
1054,915,2,300,,
10553,35,2,300,,
10553,8019,2,480,,
10553,8035,2,480,,
10554,7357,2,300,,
10554,8975,2,360,,
10564,8575,0,240,,
10591,10591,2,180,,
10591,11534,2,300,,
10591,11638,2,420,,
10591,2737,2,420,,
10591,36,2,480,,
10591,80,2,360,,
10591,8042,2,360,,
10591,8075,2,360,,
10592,11407,0,240,,
1061,1544,0,240,,
1061,1570,0,240,,
10619,10619,0,240,,
10619,782,0,240,,
10620,782,2,300,,
10642,10642,0,240,,
10643,10673,0,240,,
10643,11593,0,240,,
10644,10673,2,300,,
10644,11593,0,240,,
10648,10648,0,240,,
10648,12424,2,300,,
10648,13133,2,300,,
1065,1065,0,240,,
1065,12393,0,240,,
1065,1615,0,240,,
1065,1832,0,240,,
1065,8046,0,240,,
1065,8071,0,240,,
10673,10643,2,300,,
10673,10644,0,240,,
10673,11593,2,360,,
10690,12380,2,360,,
1070,1071,0,240,,
1070,1156,0,240,,
10701,10189,2,360,,
1071,1070,0,240,,
1071,1071,0,240,,
1071,1156,0,240,,
10736,10703,2,300,,
10736,12104,2,360,,
10744,10744,4,0,14877787,14877816
10744,10744,4,0,14877788,14877817
10744,10744,4,0,14877789,14877819
10744,10744,4,0,14877791,14877821
10744,10744,4,0,14877794,14877823
10744,10744,4,0,14877796,14877825
10744,10744,4,0,14877797,14877827
10744,10744,4,0,14877799,14877829
10744,10744,4,0,14877801,14877811
10744,10744,4,0,14877804,14877813
10744,10744,4,0,14877806,14877815
10744,10744,4,0,14877809,14877832
10744,10744,4,0,14877833,14877864
10744,10744,4,0,14877835,14877866
10744,10744,4,0,14877837,14877868
10744,10744,4,0,14877839,14877870
10744,10744,4,0,14877840,14877872
10744,10744,4,0,14877842,14877874
10744,10744,4,0,14877844,14877856
10744,10744,4,0,14877846,14877854
10744,10744,4,0,14877848,14877859
10744,10744,4,0,14877850,14877861
10744,10744,4,0,14877852,14877863
10744,10744,4,0,14877875,14877889
10744,10744,4,0,14877876,14877890
10744,10744,4,0,14877877,14877891
10744,10744,4,0,14877878,14877892
10744,10744,4,0,14877879,14877893
10744,10744,4,0,14877880,14877894
10744,10744,4,0,14877881,14877895
10744,10744,4,0,14877882,14877896
10744,10744,4,0,14877883,14877897
10744,10744,4,0,14877884,14877898
10744,10744,4,0,14877885,14877899
10744,10744,4,0,14877886,14877900
10744,10744,4,0,14877887,14877901
10744,10744,4,0,14877888,14877902
10745,11284,2,300,,
10745,11285,2,300,,
10745,11349,0,240,,
10745,994,0,240,,
1075,1076,0,240,,
10753,4005,2,360,,
10755,1493,2,360,,
1076,1828,0,240,,
1076,1833,0,240,,
10764,10819,0,240,,
10764,10823,0,240,,
1079,1254,0,240,,
1079,659,0,240,,
10799,10799,0,240,,
10799,11280,2,300,,
10799,11281,2,300,,
10799,12866,2,300,,
10799,1586,0,240,,
10811,10811,4,0,14860957,14860979
10811,10811,4,0,14860958,14860980
10811,10811,4,0,14860959,14860969
10811,10811,4,0,14860960,14860970
10811,10811,4,0,14860961,14860971
10811,10811,4,0,14860962,14860972
10811,10811,4,0,14860963,14860973
10811,10811,4,0,14860964,14860974
10811,10811,4,0,14860965,14860975
10811,10811,4,0,14860966,14860978
10811,10811,4,0,14860967,14860976
10811,10811,4,0,14860968,14860977
10811,10811,4,0,15072325,15072340
10811,10811,4,0,15072326,15072341
10811,10811,4,0,15072327,15072342
10811,10811,4,0,15072328,15072343
10811,10811,4,0,15072329,15072344
10811,10811,4,0,15072330,15072345
10811,10811,4,0,15072331,15072346
10811,10811,4,0,15072332,15072347
10811,10811,4,0,15072333,15072348
10811,10811,4,0,15072334,15072349
10811,10811,4,0,15072335,15072350
10811,10811,4,0,15072336,15072351
10811,10811,4,0,15072337,15072352
10811,10811,4,0,15072338,15072353
10811,10811,4,0,15072339,15072354
10811,10811,4,0,15073111,15073141
10811,10811,4,0,15073113,15073142
10811,10811,4,0,15073115,15073143
10811,10811,4,0,15073117,15073144
10811,10811,4,0,15073119,15073145
10811,10811,4,0,15073121,15073146
10811,10811,4,0,15073123,15073147
10811,10811,4,0,15073125,15073148
10811,10811,4,0,15073127,15073149
10811,10811,4,0,15073129,15073150
10811,10811,4,0,15073131,15073151
10811,10811,4,0,15073133,15073152
10811,10811,4,0,15073135,15073153
10811,10811,4,0,15073137,15073154
10811,10811,4,0,15073138,15073155
10811,10811,4,0,15073139,15073156
10811,10811,4,0,15073140,15073157
10812,12974,2,300,,
10812,1988,0,240,,
10814,10352,0,240,,
10814,12818,2,300,,
10819,10764,0,240,,
10819,12054,0,240,,
10819,4722,0,240,,
10819,4750,0,240,,
10823,10764,0,240,,
10823,12054,0,240,,
10823,4722,0,240,,
10823,4750,0,240,,
10827,10827,0,240,,
10827,4371,2,300,,
10833,10833,0,240,,
10855,10854,2,360,,
10855,2386,2,480,,
10855,2399,2,480,,
10856,10856,0,240,,
10856,11757,2,300,,
1086,1544,0,240,,
1086,1570,0,240,,
10860,11940,0,240,,
10860,11941,0,240,,
10860,11942,0,240,,
10860,11943,0,240,,
10860,12020,0,240,,
